date,text,sentiment,value,change,series_id,indicator_name
2021-03-01,Manufacturing Employment increased by 53.00 Thousands to $12.23 million Thousands in 2021-03-01.,positive,12232,53.0,MANEMP,Manufacturing Employment
2021-04-01,Manufacturing Employment decreased by 41.00 Thousands to $12.19 million Thousands in 2021-04-01.,negative,12191,-41.0,MANEMP,Manufacturing Employment
2021-05-01,Manufacturing Employment increased by 28.00 Thousands to $12.22 million Thousands in 2021-05-01.,positive,12219,28.0,MANEMP,Manufacturing Employment
2021-06-01,Manufacturing Employment increased by 30.00 Thousands to $12.25 million Thousands in 2021-06-01.,positive,12249,30.0,MANEMP,Manufacturing Employment
2021-07-01,Manufacturing Employment increased by 54.00 Thousands to $12.30 million Thousands in 2021-07-01.,positive,12303,54.0,MANEMP,Manufacturing Employment
2021-08-01,Manufacturing Employment increased by 46.00 Thousands to $12.35 million Thousands in 2021-08-01.,positive,12349,46.0,MANEMP,Manufacturing Employment
2021-09-01,Manufacturing Employment increased by 42.00 Thousands to $12.39 million Thousands in 2021-09-01.,positive,12391,42.0,MANEMP,Manufacturing Employment
2021-10-01,Manufacturing Employment increased by 63.00 Thousands to $12.45 million Thousands in 2021-10-01.,positive,12454,63.0,MANEMP,Manufacturing Employment
2021-11-01,Manufacturing Employment increased by 44.00 Thousands to $12.50 million Thousands in 2021-11-01.,positive,12498,44.0,MANEMP,Manufacturing Employment
2021-12-01,Manufacturing Employment increased by 34.00 Thousands to $12.53 million Thousands in 2021-12-01.,positive,12532,34.0,MANEMP,Manufacturing Employment
2022-01-01,Manufacturing Employment increased by 28.00 Thousands to $12.56 million Thousands in 2022-01-01.,positive,12560,28.0,MANEMP,Manufacturing Employment
2022-02-01,Manufacturing Employment increased by 48.00 Thousands to $12.61 million Thousands in 2022-02-01.,positive,12608,48.0,MANEMP,Manufacturing Employment
2022-03-01,Manufacturing Employment increased by 68.00 Thousands to $12.68 million Thousands in 2022-03-01.,positive,12676,68.0,MANEMP,Manufacturing Employment
2022-04-01,Manufacturing Employment increased by 49.00 Thousands to $12.72 million Thousands in 2022-04-01.,positive,12725,49.0,MANEMP,Manufacturing Employment
2022-05-01,Manufacturing Employment increased by 14.00 Thousands to $12.74 million Thousands in 2022-05-01.,neutral,12739,14.0,MANEMP,Manufacturing Employment
2022-06-01,Manufacturing Employment increased by 29.00 Thousands to $12.77 million Thousands in 2022-06-01.,positive,12768,29.0,MANEMP,Manufacturing Employment
2022-07-01,Manufacturing Employment increased by 32.00 Thousands to $12.80 million Thousands in 2022-07-01.,positive,12800,32.0,MANEMP,Manufacturing Employment
2022-08-01,Manufacturing Employment increased by 26.00 Thousands to $12.83 million Thousands in 2022-08-01.,positive,12826,26.0,MANEMP,Manufacturing Employment
2022-09-01,Manufacturing Employment increased by 22.00 Thousands to $12.85 million Thousands in 2022-09-01.,positive,12848,22.0,MANEMP,Manufacturing Employment
2022-10-01,Manufacturing Employment increased by 35.00 Thousands to $12.88 million Thousands in 2022-10-01.,positive,12883,35.0,MANEMP,Manufacturing Employment
2022-11-01,Manufacturing Employment increased by 13.00 Thousands to $12.90 million Thousands in 2022-11-01.,neutral,12896,13.0,MANEMP,Manufacturing Employment
2022-12-01,Manufacturing Employment decreased by 7.00 Thousands to $12.89 million Thousands in 2022-12-01.,negative,12889,-7.0,MANEMP,Manufacturing Employment
2023-01-01,Manufacturing Employment increased by 8.00 Thousands to $12.90 million Thousands in 2023-01-01.,neutral,12897,8.0,MANEMP,Manufacturing Employment
2023-02-01,Manufacturing Employment increased by 3.00 Thousands to $12.90 million Thousands in 2023-02-01.,neutral,12900,3.0,MANEMP,Manufacturing Employment
2023-03-01,Manufacturing Employment decreased by 10.00 Thousands to $12.89 million Thousands in 2023-03-01.,negative,12890,-10.0,MANEMP,Manufacturing Employment
2023-04-01,Manufacturing Employment decreased by 1.00 Thousands to $12.89 million Thousands in 2023-04-01.,negative,12889,-1.0,MANEMP,Manufacturing Employment
2023-05-01,Manufacturing Employment decreased by 15.00 Thousands to $12.87 million Thousands in 2023-05-01.,negative,12874,-15.0,MANEMP,Manufacturing Employment
2023-06-01,Manufacturing Employment increased by 3.00 Thousands to $12.88 million Thousands in 2023-06-01.,neutral,12877,3.0,MANEMP,Manufacturing Employment
2023-07-01,Manufacturing Employment decreased by 14.00 Thousands to $12.86 million Thousands in 2023-07-01.,negative,12863,-14.0,MANEMP,Manufacturing Employment
2023-08-01,Manufacturing Employment decreased by 7.00 Thousands to $12.86 million Thousands in 2023-08-01.,negative,12856,-7.0,MANEMP,Manufacturing Employment
2023-09-01,Manufacturing Employment increased by 13.00 Thousands to $12.87 million Thousands in 2023-09-01.,neutral,12869,13.0,MANEMP,Manufacturing Employment
2023-10-01,Manufacturing Employment decreased by 33.00 Thousands to $12.84 million Thousands in 2023-10-01.,negative,12836,-33.0,MANEMP,Manufacturing Employment
2023-11-01,Manufacturing Employment increased by 22.00 Thousands to $12.86 million Thousands in 2023-11-01.,positive,12858,22.0,MANEMP,Manufacturing Employment
2023-12-01,Manufacturing Employment increased by 7.00 Thousands to $12.87 million Thousands in 2023-12-01.,neutral,12865,7.0,MANEMP,Manufacturing Employment
2024-01-01,Manufacturing Employment increased by 1.00 Thousands to $12.87 million Thousands in 2024-01-01.,neutral,12866,1.0,MANEMP,Manufacturing Employment
2024-02-01,Manufacturing Employment decreased by 13.00 Thousands to $12.85 million Thousands in 2024-02-01.,negative,12853,-13.0,MANEMP,Manufacturing Employment
2024-03-01,Manufacturing Employment decreased by 15.00 Thousands to $12.84 million Thousands in 2024-03-01.,negative,12838,-15.0,MANEMP,Manufacturing Employment
2024-04-01,Manufacturing Employment increased by 9.00 Thousands to $12.85 million Thousands in 2024-04-01.,neutral,12847,9.0,MANEMP,Manufacturing Employment
2024-05-01,Manufacturing Employment increased by 2.00 Thousands to $12.85 million Thousands in 2024-05-01.,neutral,12849,2.0,MANEMP,Manufacturing Employment
2024-06-01,Manufacturing Employment decreased by 10.00 Thousands to $12.84 million Thousands in 2024-06-01.,negative,12839,-10.0,MANEMP,Manufacturing Employment
2024-07-01,Manufacturing Employment increased by 1.00 Thousands to $12.84 million Thousands in 2024-07-01.,neutral,12840,1.0,MANEMP,Manufacturing Employment
2024-08-01,Manufacturing Employment decreased by 40.00 Thousands to $12.80 million Thousands in 2024-08-01.,negative,12800,-40.0,MANEMP,Manufacturing Employment
2024-09-01,Manufacturing Employment remained unchanged at $12.80 million Thousands in 2024-09-01.,neutral,12800,0.0,MANEMP,Manufacturing Employment
2024-10-01,Manufacturing Employment decreased by 50.00 Thousands to $12.75 million Thousands in 2024-10-01.,negative,12750,-50.0,MANEMP,Manufacturing Employment
2024-11-01,Manufacturing Employment increased by 20.00 Thousands to $12.77 million Thousands in 2024-11-01.,neutral,12770,20.0,MANEMP,Manufacturing Employment
2024-12-01,Manufacturing Employment decreased by 10.00 Thousands to $12.76 million Thousands in 2024-12-01.,negative,12760,-10.0,MANEMP,Manufacturing Employment
2025-01-01,Manufacturing Employment decreased by 5.00 Thousands to $12.76 million Thousands in 2025-01-01.,negative,12755,-5.0,MANEMP,Manufacturing Employment
2025-02-01,Manufacturing Employment increased by 8.00 Thousands to $12.76 million Thousands in 2025-02-01.,neutral,12763,8.0,MANEMP,Manufacturing Employment
2025-03-01,Manufacturing Employment increased by 1.00 Thousands to $12.76 million Thousands in 2025-03-01.,neutral,12764,1.0,MANEMP,Manufacturing Employment
2025-04-01,Manufacturing Employment remained unchanged at $12.76 million Thousands in 2025-04-01.,neutral,12764,0.0,MANEMP,Manufacturing Employment
2025-05-01,Manufacturing Employment decreased by 11.00 Thousands to $12.75 million Thousands in 2025-05-01.,negative,12753,-11.0,MANEMP,Manufacturing Employment
2025-06-01,Manufacturing Employment decreased by 17.00 Thousands to $12.74 million Thousands in 2025-06-01.,negative,12736,-17.0,MANEMP,Manufacturing Employment
2025-07-01,Manufacturing Employment decreased by 9.00 Thousands to $12.73 million Thousands in 2025-07-01.,negative,12727,-9.0,MANEMP,Manufacturing Employment
2025-08-01,Manufacturing Employment decreased by 15.00 Thousands to $12.71 million Thousands in 2025-08-01.,negative,12712,-15.0,MANEMP,Manufacturing Employment
2025-09-01,Manufacturing Employment decreased by 6.00 Thousands to $12.71 million Thousands in 2025-09-01.,negative,12706,-6.0,MANEMP,Manufacturing Employment
