date,text,sentiment,value,change,series_id,indicator_name
2022-03-01,Retail Sales increased by 12926.00 Millions to $651.03 million Millions in 2022-03-01.,positive,651027.0,12926.0,RSAFS,Retail Sales
2022-04-01,Retail Sales increased by 9167.00 Millions to $660.19 million Millions in 2022-04-01.,positive,660194.0,9167.0,RSAFS,Retail Sales
2022-05-01,Retail Sales decreased by 347.00 Millions to $659.85 million Millions in 2022-05-01.,negative,659847.0,-347.0,RSAFS,Retail Sales
2022-06-01,Retail Sales increased by 6266.00 Millions to $666.11 million Millions in 2022-06-01.,positive,666113.0,6266.0,RSAFS,Retail Sales
2022-07-01,Retail Sales decreased by 6563.00 Millions to $659.55 million Millions in 2022-07-01.,negative,659550.0,-6563.0,RSAFS,Retail Sales
2022-08-01,Retail Sales increased by 4016.00 Millions to $663.57 million Millions in 2022-08-01.,positive,663566.0,4016.0,RSAFS,Retail Sales
2022-09-01,Retail Sales decreased by 1712.00 Millions to $661.85 million Millions in 2022-09-01.,negative,661854.0,-1712.0,RSAFS,Retail Sales
2022-10-01,Retail Sales increased by 6817.00 Millions to $668.67 million Millions in 2022-10-01.,positive,668671.0,6817.0,RSAFS,Retail Sales
2022-11-01,Retail Sales decreased by 9213.00 Millions to $659.46 million Millions in 2022-11-01.,negative,659458.0,-9213.0,RSAFS,Retail Sales
2022-12-01,Retail Sales decreased by 7695.00 Millions to $651.76 million Millions in 2022-12-01.,negative,651763.0,-7695.0,RSAFS,Retail Sales
2023-01-01,Retail Sales increased by 28490.00 Millions to $680.25 million Millions in 2023-01-01.,positive,680253.0,28490.0,RSAFS,Retail Sales
2023-02-01,Retail Sales decreased by 8101.00 Millions to $672.15 million Millions in 2023-02-01.,negative,672152.0,-8101.0,RSAFS,Retail Sales
2023-03-01,Retail Sales decreased by 7081.00 Millions to $665.07 million Millions in 2023-03-01.,negative,665071.0,-7081.0,RSAFS,Retail Sales
2023-04-01,Retail Sales increased by 5423.00 Millions to $670.49 million Millions in 2023-04-01.,positive,670494.0,5423.0,RSAFS,Retail Sales
2023-05-01,Retail Sales increased by 3408.00 Millions to $673.90 million Millions in 2023-05-01.,positive,673902.0,3408.0,RSAFS,Retail Sales
2023-06-01,Retail Sales increased by 3215.00 Millions to $677.12 million Millions in 2023-06-01.,positive,677117.0,3215.0,RSAFS,Retail Sales
2023-07-01,Retail Sales increased by 1307.00 Millions to $678.42 million Millions in 2023-07-01.,neutral,678424.0,1307.0,RSAFS,Retail Sales
2023-08-01,Retail Sales increased by 6331.00 Millions to $684.75 million Millions in 2023-08-01.,positive,684755.0,6331.0,RSAFS,Retail Sales
2023-09-01,Retail Sales increased by 4648.00 Millions to $689.40 million Millions in 2023-09-01.,positive,689403.0,4648.0,RSAFS,Retail Sales
2023-10-01,Retail Sales decreased by 3255.00 Millions to $686.15 million Millions in 2023-10-01.,negative,686148.0,-3255.0,RSAFS,Retail Sales
2023-11-01,Retail Sales decreased by 820.00 Millions to $685.33 million Millions in 2023-11-01.,negative,685328.0,-820.0,RSAFS,Retail Sales
2023-12-01,Retail Sales increased by 949.00 Millions to $686.28 million Millions in 2023-12-01.,neutral,686277.0,949.0,RSAFS,Retail Sales
2024-01-01,Retail Sales decreased by 5821.00 Millions to $680.46 million Millions in 2024-01-01.,negative,680456.0,-5821.0,RSAFS,Retail Sales
2024-02-01,Retail Sales increased by 4824.00 Millions to $685.28 million Millions in 2024-02-01.,positive,685280.0,4824.0,RSAFS,Retail Sales
2024-03-01,Retail Sales increased by 2361.00 Millions to $687.64 million Millions in 2024-03-01.,positive,687641.0,2361.0,RSAFS,Retail Sales
2024-04-01,Retail Sales decreased by 39.00 Millions to $687.60 million Millions in 2024-04-01.,negative,687602.0,-39.0,RSAFS,Retail Sales
2024-05-01,Retail Sales increased by 5172.00 Millions to $692.77 million Millions in 2024-05-01.,positive,692774.0,5172.0,RSAFS,Retail Sales
2024-06-01,Retail Sales decreased by 325.00 Millions to $692.45 million Millions in 2024-06-01.,negative,692449.0,-325.0,RSAFS,Retail Sales
2024-07-01,Retail Sales increased by 6386.00 Millions to $698.84 million Millions in 2024-07-01.,positive,698835.0,6386.0,RSAFS,Retail Sales
2024-08-01,Retail Sales decreased by 1796.00 Millions to $697.04 million Millions in 2024-08-01.,negative,697039.0,-1796.0,RSAFS,Retail Sales
2024-09-01,Retail Sales increased by 6246.00 Millions to $703.28 million Millions in 2024-09-01.,positive,703285.0,6246.0,RSAFS,Retail Sales
2024-10-01,Retail Sales increased by 4328.00 Millions to $707.61 million Millions in 2024-10-01.,positive,707613.0,4328.0,RSAFS,Retail Sales
2024-11-01,Retail Sales increased by 4532.00 Millions to $712.14 million Millions in 2024-11-01.,positive,712145.0,4532.0,RSAFS,Retail Sales
2024-12-01,Retail Sales increased by 5517.00 Millions to $717.66 million Millions in 2024-12-01.,positive,717662.0,5517.0,RSAFS,Retail Sales
2025-01-01,Retail Sales decreased by 6201.00 Millions to $711.46 million Millions in 2025-01-01.,negative,711461.0,-6201.0,RSAFS,Retail Sales
2025-02-01,Retail Sales increased by 296.00 Millions to $711.76 million Millions in 2025-02-01.,neutral,711757.0,296.0,RSAFS,Retail Sales
2025-03-01,Retail Sales increased by 10815.00 Millions to $722.57 million Millions in 2025-03-01.,positive,722572.0,10815.0,RSAFS,Retail Sales
2025-04-01,Retail Sales decreased by 783.00 Millions to $721.79 million Millions in 2025-04-01.,negative,721789.0,-783.0,RSAFS,Retail Sales
2025-05-01,Retail Sales decreased by 5688.00 Millions to $716.10 million Millions in 2025-05-01.,negative,716101.0,-5688.0,RSAFS,Retail Sales
2025-06-01,Retail Sales increased by 6932.00 Millions to $723.03 million Millions in 2025-06-01.,positive,723033.0,6932.0,RSAFS,Retail Sales
2025-07-01,Retail Sales increased by 4694.00 Millions to $727.73 million Millions in 2025-07-01.,positive,727727.0,4694.0,RSAFS,Retail Sales
2025-08-01,Retail Sales increased by 4332.00 Millions to $732.06 million Millions in 2025-08-01.,positive,732059.0,4332.0,RSAFS,Retail Sales
2025-09-01,Retail Sales increased by 1199.00 Millions to $733.26 million Millions in 2025-09-01.,neutral,733258.0,1199.0,RSAFS,Retail Sales
